noise_level,method,accuracy,f1_macro,train_time_s
0.0,KNN,0.785,0.7807623505119928,0.027001380920410156
0.0,SVM,0.9570833333333333,0.9570843792232252,0.9234507083892822
0.0,RF,0.9129166666666667,0.9125997387398966,0.3927621841430664
0.0,MLP,0.9354166666666667,0.9356480686278411,2.8128650188446045
0.0,PINN-RF,0.9666666666666667,0.9666879095361939,0.3016629219055176
0.01,KNN,0.7654166666666666,0.7627762442011865,0.024500131607055664
0.01,SVM,0.9129166666666667,0.9129936004918733,1.0255255699157715
0.01,RF,0.8858333333333334,0.8851019754509913,0.4106166362762451
0.01,MLP,0.8795833333333334,0.8791095133310286,3.6895554065704346
0.01,PINN-RF,0.9175,0.9175868120185605,0.30817699432373047
0.03,KNN,0.7329166666666667,0.7272696942685144,0.021999835968017578
0.03,SVM,0.8795833333333334,0.8797743656932103,1.2479968070983887
0.03,RF,0.8416666666666667,0.8395865123707141,0.43573760986328125
0.03,MLP,0.8525,0.8524522895861099,2.337066173553467
0.03,PINN-RF,0.8658333333333333,0.8658204726685897,0.3064882755279541
0.05,KNN,0.7245833333333334,0.7159342846040819,0.0167238712310791
0.05,SVM,0.835,0.8352909027101519,1.5922675132751465
0.05,RF,0.7858333333333334,0.7827275978302112,0.4175679683685303
0.05,MLP,0.80875,0.8075737394891597,2.3847103118896484
0.05,PINN-RF,0.8191666666666667,0.8191844068336622,0.309999942779541
0.07,KNN,0.6979166666666666,0.6853990178970983,0.015449047088623047
0.07,SVM,0.79125,0.7914657748359532,1.8187119960784912
0.07,RF,0.7541666666666667,0.7485129708614372,0.41215944290161133
0.07,MLP,0.7833333333333333,0.7818949243152292,2.476224660873413
0.07,PINN-RF,0.78625,0.7857318113895415,0.31801295280456543
0.1,KNN,0.6629166666666667,0.6432880405728717,0.022223949432373047
0.1,SVM,0.7525,0.7523061840008037,2.0905842781066895
0.1,RF,0.7025,0.6948134045096813,0.418062686920166
0.1,MLP,0.7441666666666666,0.7440765109182781,3.6178267002105713
0.1,PINN-RF,0.7283333333333334,0.7273023639204016,0.32511186599731445
